state_name,year,ethanol_beer_gallons_per_capita,ethanol_spirit_gallons_per_capita,beer_share_signal,spirit_share_signal,total_selected_signal
Florida,1991,1.43,0.92,0.5315985130111524,0.34200743494423796,2.35
Florida,1992,1.45,0.96,0.5272727272727272,0.34909090909090906,2.41
Florida,1993,1.44,0.92,0.5373134328358209,0.34328358208955223,2.36
Florida,1994,1.4,0.87,0.5384615384615384,0.3346153846153846,2.27
Florida,1995,1.34,0.82,0.536,0.32799999999999996,2.16
Florida,1996,1.36,0.81,0.5354330708661418,0.31889763779527563,2.17
Florida,1997,1.36,0.8,0.5375494071146246,0.316205533596838,2.16
Florida,1998,1.33,0.79,0.532,0.316,2.12
Florida,1999,1.33,0.8,0.5256916996047432,0.316205533596838,2.13
Florida,2000,1.32,0.83,0.515625,0.32421875,2.15
Florida,2001,1.32,0.82,0.5196850393700787,0.3228346456692913,2.14
Florida,2002,1.32,0.84,0.5116279069767442,0.3255813953488372,2.16
Florida,2003,1.31,0.86,0.5019157088122606,0.32950191570881227,2.17
Florida,2004,1.34,0.88,0.5,0.3283582089552239,2.22
Florida,2005,1.33,0.91,0.4925925925925926,0.337037037037037,2.24
Florida,2006,1.32,0.91,0.4888888888888889,0.337037037037037,2.23
Florida,2007,1.28,0.92,0.47761194029850745,0.34328358208955223,2.2
Florida,2008,1.24,0.89,0.47509578544061304,0.3409961685823755,2.13
Florida,2009,1.19,0.91,0.46124031007751937,0.35271317829457366,2.1
Florida,2010,1.12,0.91,0.4462151394422312,0.3625498007968128,2.0300000000000002
Florida,2011,1.13,0.93,0.44488188976377946,0.3661417322834646,2.06
Florida,2012,1.26,0.95,0.463235294117647,0.3492647058823529,2.21
Florida,2013,1.28,0.95,0.47058823529411764,0.3492647058823529,2.23
Florida,2014,1.1,0.98,0.42471042471042475,0.3783783783783784,2.08
Florida,2015,1.11,0.98,0.4252873563218391,0.37547892720306514,2.09
Florida,2016,1.09,1.03,0.41132075471698115,0.3886792452830189,2.12
Florida,2017,1.07,1.04,0.40684410646387836,0.3954372623574145,2.1100000000000003
Florida,2018,1.05,1.04,0.4022988505747127,0.3984674329501916,2.09
Florida,2019,1.05,1.09,0.3888888888888889,0.40370370370370373,2.14
Florida,2020,1.04,1.15,0.3768115942028986,0.4166666666666667,2.19
Florida,2021,1.07,1.32,0.3590604026845638,0.4429530201342282,2.39
Florida,2022,1.04,1.37,0.348993288590604,0.45973154362416113,2.41
Florida,2023,1.0,1.4,0.3401360544217687,0.47619047619047616,2.4
Georgia,1977,1.03,1.19,0.4345991561181434,0.5021097046413502,2.2199999999999998
Georgia,1978,1.09,1.21,0.4395161290322581,0.4879032258064516,2.3
Georgia,1979,1.11,1.16,0.4549180327868853,0.47540983606557374,2.27
Georgia,1980,1.06,1.08,0.4549356223175966,0.46351931330472107,2.14
Georgia,1981,1.1,1.09,0.4621848739495799,0.45798319327731096,2.1900000000000004
Georgia,1982,1.12,1.04,0.47457627118644075,0.44067796610169496,2.16
Georgia,1983,1.14,1.06,0.47107438016528924,0.4380165289256199,2.2
Georgia,1984,1.18,1.06,0.4758064516129032,0.4274193548387097,2.24
Georgia,1985,1.17,1.01,0.47950819672131145,0.4139344262295082,2.1799999999999997
Georgia,1986,1.21,0.94,0.4979423868312757,0.38683127572016457,2.15
Georgia,1987,1.21,1.0,0.4879032258064516,0.40322580645161293,2.21
Georgia,1988,1.21,0.92,0.506276150627615,0.38493723849372385,2.13
Georgia,1989,1.18,0.94,0.5,0.3983050847457627,2.12
Georgia,1990,1.22,0.86,0.5281385281385281,0.3722943722943723,2.08
Georgia,1991,1.16,0.78,0.5345622119815668,0.35944700460829493,1.94
Georgia,1992,1.22,0.79,0.547085201793722,0.3542600896860987,2.01
Georgia,1993,1.23,0.77,0.5590909090909091,0.35,2.0
Georgia,1994,1.17,0.77,0.5467289719626167,0.3598130841121495,1.94
Georgia,1995,1.21,0.7,0.570754716981132,0.330188679245283,1.91
Georgia,1996,1.24,0.71,0.5688073394495412,0.32568807339449535,1.95
Georgia,1997,1.2,0.7,0.5633802816901409,0.32863849765258213,1.9
Georgia,1998,1.22,0.7,0.5674418604651162,0.3255813953488372,1.92
Georgia,1999,1.23,0.7,0.5642201834862385,0.3211009174311926,1.93
Georgia,2000,1.21,0.69,0.5601851851851851,0.3194444444444444,1.9
Georgia,2001,1.2,0.65,0.5687203791469194,0.3080568720379147,1.85
Georgia,2002,1.21,0.66,0.568075117370892,0.3098591549295775,1.87
Georgia,2003,1.2,0.66,0.5633802816901409,0.3098591549295775,1.8599999999999999
Georgia,2004,1.19,0.65,0.5639810426540285,0.3080568720379147,1.8399999999999999
Georgia,2005,1.17,0.64,0.5652173913043478,0.3091787439613527,1.81
Georgia,2006,1.19,0.65,0.5666666666666667,0.30952380952380953,1.8399999999999999
Georgia,2007,1.19,0.65,0.5666666666666667,0.30952380952380953,1.8399999999999999
Georgia,2008,1.16,0.65,0.5631067961165048,0.3155339805825243,1.81
Georgia,2009,1.11,0.65,0.5522388059701494,0.32338308457711445,1.7600000000000002
Georgia,2010,1.08,0.65,0.5454545454545455,0.3282828282828283,1.73
Georgia,2011,1.06,0.67,0.5353535353535354,0.3383838383838384,1.73
Georgia,2012,1.06,0.68,0.5326633165829145,0.3417085427135679,1.7400000000000002
Georgia,2013,1.03,0.69,0.5202020202020202,0.34848484848484845,1.72
Georgia,2014,1.02,0.69,0.5177664974619289,0.350253807106599,1.71
Georgia,2015,1.01,0.69,0.517948717948718,0.3538461538461538,1.7
Georgia,2016,0.99,0.7,0.5076923076923077,0.358974358974359,1.69
Georgia,2017,0.98,0.7,0.5077720207253886,0.3626943005181347,1.68
Georgia,2018,0.95,0.7,0.5,0.3684210526315789,1.65
Georgia,2019,0.94,0.72,0.49473684210526314,0.37894736842105264,1.66
Georgia,2020,0.93,0.74,0.48437500000000006,0.3854166666666667,1.67
Georgia,2021,0.93,0.81,0.465,0.405,1.7400000000000002
Georgia,2022,0.89,0.85,0.4472361809045226,0.4271356783919598,1.74
Georgia,2023,0.84,0.88,0.42857142857142855,0.4489795918367347,1.72
Hawaii,1977,1.55,1.21,0.4983922829581994,0.3890675241157556,2.76
Hawaii,1978,1.33,1.25,0.4403973509933775,0.4139072847682119,2.58
Hawaii,1979,1.51,1.21,0.48089171974522293,0.38535031847133755,2.7199999999999998
Hawaii,1980,1.64,1.2,0.49696969696969695,0.36363636363636365,2.84
Hawaii,1981,1.74,1.16,0.5209580838323353,0.3473053892215569,2.9
Hawaii,1982,1.8,1.14,0.5278592375366569,0.3343108504398827,2.94
Hawaii,1983,1.89,1.13,0.5478260869565217,0.32753623188405795,3.0199999999999996
Hawaii,1984,1.66,0.92,0.5551839464882943,0.3076923076923077,2.58
Hawaii,1985,1.61,0.88,0.5532646048109966,0.3024054982817869,2.49
Hawaii,1986,1.61,0.86,0.5532646048109966,0.29553264604810997,2.47
Hawaii,1987,1.59,0.77,0.5760869565217392,0.27898550724637683,2.3600000000000003
Hawaii,1988,1.64,0.8,0.5674740484429065,0.2768166089965398,2.44
Hawaii,1989,1.56,0.8,0.5591397849462366,0.2867383512544803,2.3600000000000003
Hawaii,1990,1.64,0.79,0.5774647887323944,0.27816901408450706,2.4299999999999997
Hawaii,1991,1.57,0.7,0.5880149812734082,0.26217228464419473,2.27
Hawaii,1992,1.55,0.69,0.5893536121673004,0.26235741444866917,2.24
Hawaii,1993,1.49,0.65,0.5936254980079682,0.25896414342629487,2.14
Hawaii,1994,1.46,0.62,0.5934959349593496,0.25203252032520324,2.08
Hawaii,1995,1.41,0.57,0.6077586206896551,0.24568965517241378,1.98
Hawaii,1996,1.4,0.58,0.5982905982905983,0.24786324786324787,1.98
Hawaii,1997,1.38,0.56,0.592274678111588,0.240343347639485,1.94
Hawaii,1998,1.32,0.54,0.5945945945945945,0.24324324324324323,1.86
Hawaii,1999,1.31,0.56,0.5796460176991152,0.24778761061946908,1.87
Hawaii,2000,1.33,0.6,0.5732758620689656,0.25862068965517243,1.9300000000000002
Hawaii,2001,1.3,0.6,0.5701754385964913,0.2631578947368421,1.9
Hawaii,2002,1.27,0.62,0.5570175438596492,0.2719298245614035,1.8900000000000001
Hawaii,2003,1.3,0.66,0.546218487394958,0.2773109243697479,1.96
Hawaii,2004,1.38,0.7,0.5519999999999999,0.27999999999999997,2.08
Hawaii,2005,1.3,0.72,0.5263157894736842,0.291497975708502,2.02
Hawaii,2006,1.28,0.77,0.5079365079365079,0.3055555555555556,2.05
Hawaii,2007,1.3,0.77,0.5098039215686275,0.3019607843137255,2.0700000000000003
Hawaii,2008,1.33,0.72,0.51953125,0.28125,2.05
Hawaii,2009,1.27,0.71,0.5100401606425703,0.2851405622489959,1.98
Hawaii,2010,1.25,0.71,0.5040322580645161,0.28629032258064513,1.96
Hawaii,2011,1.25,0.73,0.4980079681274901,0.2908366533864542,1.98
Hawaii,2012,1.25,0.75,0.4940711462450593,0.2964426877470356,2.0
Hawaii,2013,1.25,0.76,0.48828125,0.296875,2.01
Hawaii,2014,1.27,0.77,0.49034749034749037,0.2972972972972973,2.04
Hawaii,2015,1.28,0.77,0.49042145593869735,0.29501915708812265,2.05
Hawaii,2016,1.29,0.78,0.48863636363636365,0.29545454545454547,2.0700000000000003
Hawaii,2017,1.29,0.79,0.4849624060150376,0.29699248120300753,2.08
Hawaii,2018,1.28,0.79,0.48120300751879697,0.29699248120300753,2.0700000000000003
